,B.F. 대검,피바라기,덤불 조끼,쇠사슬 조끼,연습용 장갑,죽음의 검,용의 발톱,,전략가의 왕관,도적의 장갑,침묵의 장막,수호자의 맹세,거인의 허리띠,거인 학살자,밤의 끝자락,구인수의 격노검,정의의 손길,마법공학 총검,힘의 성배,무한의 대검,이온 충격기,보석 건틀릿,최후의 속삭임,강철의 솔라리 펜던트,대천사의 지팡이,뒤집개,수은,모렐로노미콘,쓸데없이 큰 지팡이,음전자 망토,방패파괴자,라바돈의 죽음모자,붉은 덩굴정령,곡궁,태양불꽃 망토,구원,루난의 허리케인,쇼진의 창,스태틱의 단검,가고일 돌갑옷,여신의 눈물,거인의 결의,워모그의 갑옷,지크의 전령,서풍,영혼의 형상,죽음의 저항,황금 징수의 총,무한한 삼위일체,마나자네,흑요석 양날 도끼,란두인의 예언,존야의 역설,의지파괴자,축복받은 피바라기,집단 충격기,악마 학살자,용의 의지,수호상 돌갑옷,영겁의 속삭임,공정의 주먹,철갑의 서약,눈부신 건틀릿,새벽의 서광,구인수의 심판,마법공학 생명검,빛나는 죽음의 검,엔젤로노미콘,반짝이는 수은,라바돈의 초월한 죽음모자,면죄,잉걸불 문장,장난꾸러기의 장갑,장미가시 조끼,루난의 폭풍,히라나의 창,스태틱의 호의,태양빛 망토,거인의 맹세,우르프 천사의 지팡이,워모그의 자부심,천공의 대검,즈롯 차원문,쓸데없이 큰 보석,선체분쇄자,속임수 거울,죽음불꽃 손아귀,저격수의 집중,저녁갑주,별의 균형,크라운가드,왕가의 방패,굳건한 심장,거석상의 유산,스테락의 도전,스테락의 초강력 보호막,푸른 파수꾼,푸른 축복,적응형 투구,해신 작쇼,내셔의 이빨,남작의 선물,군단의 방패,순교자의 미덕,밴시의 장막,도박꾼의 칼날,영원한 불꽃,기사의 맹세,월석 재생기,앙심,불안정한 보물 상자,승천의 부적,생선대가리,수상한 외투,지평선의 초점,방한 장갑,끝없는 절망,고속 연사포,활력증진의 펜던트,루덴의 폭풍,은빛 여명,자객의 발톱,망령 해적검,역병의 보석,마법사의 최후,리치베인,라이트실드 문장,추적자의 팔목 보호대,거물의 갑옷,프라이팬,전략가의 망토,전략가의 방패,검은 장미단 상징,화공 남작 상징,실험체 상징,가족 상징,점화단 상징,반군 상징,집행자 상징,정복자 상징,자동기계 상징,아카데미 상징,매복자 상징,난동꾼 상징,기동타격대 상징,포수 상징,선도자 상징,투사 상징,고물상 상징,마법사 상징,저격수 상징,감시자 상징,주시자 상징,지배자 상징,요동치는 화공 탱크,처형인의 사슬칼날,살점 찢개,필트오버 마법공학 갑옷,풀려난 독소,악성 바이러스,완벽한 처형인의 사슬칼날,완벽한 살점 찢개,완벽한 요동치는 화공 탱크,완벽한 필트오버 마법공학 갑옷,완벽한 풀려난 독소,완벽한 악성 바이러스,처형인의 사슬칼날 II,살점 찢개 II,요동치는 화공 탱크 II,필트오버 마법공학 갑옷 II,풀려난 독소 II,악성 바이러스 II,시머 꽃,시머 꽃 II,완벽한 시머 꽃,축전 사브르,축전 사브르 II,완벽한 축전 사브르,회수한 건틀릿,회수한 리볼버,회수한 기계 장치,차원의 가보,압수됨!,휴대용 이상 현상
레니,17,149,265,37,14,16,330,36,8,233,0,95,60,5,14,61,37,26,2,6,388,16,8,20,17,2,24,15,5,34,8,9,12,11,645,469,22,6,5,505,11,123,581,8,1,15,0,0,1,0,0,13,1,0,1,5,0,0,3,0,0,1,0,0,0,0,0,0,0,0,5,0,3,2,0,0,2,9,2,0,4,0,2,1,21,4,0,0,260,3,137,0,223,1,145,1,20,0,51,0,8,0,8,12,10,0,1,6,0,3,0,9,0,1,2,1,5,0,5,0,0,5,0,0,0,0,18,3,3,4,5,4,10,0,95,3,42,1,16,9,4,2,54,0,1,0,112,6,8,5,7,23,0,14,153,10,22,149,22,10,2,0,56,68,0,0,8,6,179,170,13,16,119,126,15,20,6,2,172,115,332,0,0,4
로리스,15,60,697,167,5,20,734,26,18,462,10,342,248,19,25,54,26,19,5,21,1284,16,17,102,39,12,44,39,59,146,38,40,27,9,2338,1084,45,3,26,1276,67,110,1403,43,12,52,0,0,0,0,0,38,0,0,0,9,1,3,8,0,0,0,1,0,1,0,0,0,0,0,24,0,11,5,1,0,0,21,0,1,1,0,41,5,22,12,0,0,1132,13,578,1,425,9,56,5,33,0,172,2,43,0,36,19,71,0,2,43,7,13,14,0,0,4,0,0,30,0,6,0,0,0,0,0,0,0,67,2,41,3,22,14,5,17,19,3,25,114,0,4,39,62,42,39,192,20,59,14,38,12,1,0,14,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,6
스텝,3,243,40,39,1,1,70,2,5,105,6,34,28,1,7,11,28,7,2,0,32,103,8,32,202,5,4,5,13,21,12,8,5,4,198,175,12,0,11,74,3,140,79,10,15,2,0,0,2,0,0,92,10,0,1,0,0,3,2,0,0,3,1,0,0,0,0,0,1,0,9,0,1,0,0,0,0,5,2,17,2,0,12,1,0,0,0,1,113,3,34,4,45,2,22,0,4,0,17,0,5,0,9,3,18,0,0,2,0,8,20,1,0,0,0,0,0,3,2,0,1,0,0,0,3,0,2,9,2,4,11,9,15,5,20,0,2,5,0,4,3,10,1,0,8,5,2,14,15,3,4,19,1,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
매디,79,11,3,0,34,144,0,22,74,47,6,3,1,90,6,466,53,45,0,880,3,12,587,0,5,3,15,10,19,4,131,16,154,63,0,7,120,387,45,0,39,3,0,23,7,0,0,27,1,2,5,3,0,0,0,0,1,0,0,8,0,0,0,1,6,1,0,0,0,0,0,2,0,0,3,2,5,0,0,0,0,11,1,18,0,0,0,18,1,0,0,0,6,0,4,0,297,0,21,0,7,0,0,5,7,3,26,4,60,0,0,2,5,0,0,0,0,0,0,1,10,0,0,0,2,0,0,0,0,0,66,6,5,0,35,0,6,1,0,15,1,0,2,9,29,10,3,3,1,0,0,15,14,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2
파우더,272,120,18,1408,463,12,21,24,86,160,36,45,679,144,29,80,363,63,49,16,488,759,25,56,332,46,25,93,1652,1797,435,671,94,501,52,47,24,720,161,22,1605,62,18,110,20,0,0,5,6,13,7,249,25,5,0,5,0,0,0,0,5,0,9,0,0,0,0,0,0,15,2,0,5,0,5,7,3,0,0,13,0,0,16,53,4,0,9,16,47,0,226,11,32,0,22,0,97,0,486,32,292,2,13,17,32,5,16,22,45,19,17,0,2,1,0,0,0,1,0,28,0,0,0,0,2,2,0,15,1,21,62,47,59,89,38,0,52,35,48,39,40,20,0,68,20,26,40,103,0,47,21,37,35,49,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6
밴더,10,337,388,40,15,28,303,4,14,435,4,192,52,9,38,269,184,37,1,149,325,7,20,32,20,0,29,32,3,25,38,12,14,19,645,750,44,0,13,824,17,216,640,17,0,17,4,0,4,2,0,11,0,1,16,1,0,4,11,0,1,0,0,0,1,0,0,0,1,0,4,0,5,2,0,0,1,0,1,0,8,3,13,2,15,7,0,1,438,3,110,2,287,2,164,3,38,0,120,0,21,0,14,9,11,0,1,6,0,1,2,2,0,2,0,8,0,0,10,0,13,0,0,0,0,0,18,2,30,5,2,14,16,3,10,0,328,0,7,5,21,3,29,3,1,2,5,149,15,7,15,4,0,12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4
스카,8,75,521,38,11,5,717,18,22,381,0,465,92,22,23,840,23,17,7,14,322,36,14,13,29,1,38,38,19,25,26,40,16,17,951,877,26,4,15,1298,41,66,735,21,1,45,2,0,1,0,0,15,0,0,2,1,0,11,11,0,0,5,0,2,0,0,0,0,0,0,2,2,9,2,0,0,0,13,0,0,15,0,9,0,16,3,0,0,418,6,240,15,470,2,27,0,29,0,264,1,22,0,14,8,6,0,0,2,4,4,0,1,0,4,20,2,14,0,33,0,0,0,3,0,0,0,39,13,44,0,6,11,21,12,12,21,0,2,8,5,95,7,133,5,3,3,1,7,29,25,11,9,0,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,6,0
누누와 윌럼프,22,151,488,204,22,63,612,18,40,1135,49,440,323,49,62,69,86,61,5,25,472,58,43,101,54,14,80,76,37,203,92,94,76,40,1230,1040,89,1,52,916,48,138,679,19,17,18,0,0,0,0,1,282,2,0,1,3,0,0,8,0,0,5,0,0,0,1,0,0,0,0,19,1,9,2,4,1,1,12,2,0,7,0,67,1,14,9,0,0,589,8,361,7,368,1,174,2,66,1,254,8,88,0,59,68,55,0,0,19,1,16,46,1,0,5,0,0,7,0,4,0,1,0,2,0,0,0,19,2,9,8,19,70,279,56,0,8,6,26,18,14,52,61,7,0,12,58,0,51,22,30,13,306,24,27,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,1,0,0,0,0,0,0,0,3,0,4,0,0,5
징크스,5,2,3,0,3,80,1,0,28,22,0,0,0,115,16,45,35,4,0,434,0,18,134,0,0,0,11,14,0,0,135,0,86,18,2,0,21,495,55,2,4,1,1,0,0,0,0,41,2,14,1,0,0,2,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,1,0,0,0,0,0,9,0,0,2,0,0,0,5,0,97,0,17,0,26,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,2,0,0,4,0,5,1,0,8,2,0,0,0,0,2,4,0,3,4,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
제리,20,9,0,0,9,133,0,2,43,10,2,0,2,136,7,4879,30,1581,2,1427,5,1,198,0,0,0,21,44,11,0,69,3,233,28,1,0,155,7,115,0,1,0,0,8,5,0,0,47,1,0,14,10,7,2,0,0,22,0,0,2,1,0,0,0,204,25,2,0,0,0,0,3,0,0,4,0,2,0,2,0,0,20,0,15,0,0,3,21,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,100,14,6,13,1,0,1,26,0,0,8,0,11,0,0,0,0,0,0,4,0,0,0,0,0,37,17,0,2,7,0,0,1,10,7,27,0,64,0,3,3,2,4,4,0,0,4,17,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,0
바이올렛,14,972,4,5,6,16,7,12,9,63,2,6,5,13,189,8,288,10,5,46,10,5,17,1,2,4,60,3,0,7,18,3,2,9,17,15,1,1,0,9,4,871,13,6,2,0,37,0,26,0,0,11,0,0,24,0,0,1,0,0,2,0,1,12,0,0,0,0,3,0,0,0,1,0,0,0,0,0,24,0,0,0,2,0,1,0,0,3,26,0,5,0,15,0,921,31,2,0,15,0,5,0,4,1,3,0,0,0,2,2,0,0,18,38,1,36,0,4,0,0,11,36,26,0,0,0,0,0,0,0,4,7,5,7,3,0,22,0,9,7,0,0,80,0,8,3,4,0,6,6,3,0,24,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2
나미,43,17,2,0,47,7,3,54,180,241,8,4,2,449,18,348,40,290,99,31,5,1570,30,0,358,2,69,357,170,9,491,372,566,179,10,7,31,2211,1346,9,136,12,3,85,11,0,0,6,0,29,23,9,7,28,0,0,5,0,0,7,2,3,76,1,8,4,0,14,2,14,0,15,1,0,0,88,94,0,0,32,0,2,7,57,0,0,36,15,8,0,19,0,11,0,17,0,245,4,482,13,971,13,1,2,28,22,25,2,73,3,1,1,1,0,0,0,0,6,0,20,0,0,0,15,2,13,0,0,0,4,29,2,496,4,2,11,2,62,4,50,5,11,3,0,12,21,76,1,1,0,8,7,4,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,13
코르키,1167,30,8,48,724,2268,5,24,348,199,2,9,6563,2616,77,1049,387,331,1,10830,6,43,5172,0,18,16,141,209,148,107,1738,9,1457,1023,10,10,609,796,88,3,242,45,14,15,11,0,0,1053,126,16,41,15,3,89,1,4,41,0,0,49,0,0,0,1,9,11,34,0,1,0,4,26,12,0,13,6,2,0,0,0,0,386,0,37,2,7,3,216,15,0,14,0,7,0,27,0,112,0,40,0,92,0,0,0,7,22,15,3,10,0,0,12,152,0,0,22,0,12,0,1,6,1,2,4,0,1,0,0,0,2,15,5,10,4,193,17,13,29,39,26,1,70,364,6,14,0,5,117,0,1,16,83,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,19
가렌,10,166,2545,97,5,18,2864,32,0,473,12,563,343,30,43,403,46,34,11,16,3593,13,16,164,33,7,50,46,16,103,34,16,27,11,5233,2918,31,9,17,3796,29,100,7406,167,2,219,9,0,1,0,7,78,0,0,2,40,3,26,42,4,2,10,1,0,0,1,0,2,1,0,104,0,27,22,0,0,0,169,0,2,167,2,11,0,0,67,0,2,1000,15,560,10,1252,12,141,3,27,0,356,5,20,0,115,24,86,0,0,69,2,18,1,2,0,3,0,1,92,0,74,0,5,0,0,0,0,0,103,11,67,3,2,7,124,12,28,38,847,13,24,13,146,7,75,57,3,5,9,10,27,724,9,31,0,49,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,21
벡스,35,16,11,7,25,26,13,12,69,282,7,7,6,115,20,69,33,79,34,25,7,187,9,0,98,4,29,114,50,5,73,89,150,117,16,8,33,311,279,8,41,8,12,40,13,0,0,0,2,6,1,8,1,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,2,2,0,0,0,1,5,0,0,0,0,0,9,22,0,1,0,3,16,0,18,0,10,0,16,0,72,1,69,0,185,0,0,6,6,5,21,0,40,0,4,0,2,0,0,0,0,1,0,3,0,0,0,4,8,1,0,0,0,0,33,18,16,3,0,0,4,0,0,4,9,11,0,0,0,0,0,3,0,7,6,77,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
녹턴,23,649,8,17,16,68,21,10,16,247,1,7,12,116,240,248,587,37,5,914,21,17,85,19,19,1,406,29,6,0,68,8,38,31,19,10,41,4,41,12,17,519,29,26,1,0,22,36,34,0,2,23,0,1,6,0,9,0,0,2,12,0,0,5,5,0,0,1,7,0,1,7,16,0,1,4,0,0,10,1,0,39,2,0,1,0,0,320,23,3,7,0,19,0,192,1,18,2,13,0,31,0,4,0,9,2,0,2,4,4,4,1,223,1,0,34,0,334,0,0,1,22,16,0,1,0,0,2,0,2,10,2,0,0,0,1,11,19,25,13,0,0,0,3,0,1,4,1,0,0,74,51,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7
다리우스,7,115,29,10,5,14,49,4,13,112,0,19,17,8,23,3,68,9,10,17,38,2,7,20,15,2,6,14,8,13,16,1,12,5,135,69,7,0,4,107,3,81,50,22,1,3,0,0,1,0,0,20,0,0,1,2,0,0,1,0,1,2,0,0,0,0,0,0,0,0,8,0,0,0,0,0,0,1,3,0,0,0,5,0,7,1,0,0,67,0,8,0,37,0,69,1,7,0,13,0,8,0,1,3,8,0,0,7,0,2,3,0,0,0,0,0,0,0,3,0,2,0,13,0,0,0,7,0,0,2,3,9,11,0,0,74,9,3,3,0,6,0,0,0,0,1,1,53,4,11,1,2,0,11,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
이렐리아,4,143,105,74,9,14,83,6,29,232,19,71,63,9,22,21,170,8,0,137,156,3,11,29,18,2,24,16,3,50,17,14,16,11,205,149,13,0,10,177,8,131,144,14,9,4,6,0,6,3,0,118,1,0,0,10,0,7,3,1,5,1,0,2,0,0,0,0,0,0,8,0,1,9,0,0,1,18,0,0,2,9,26,0,1,0,0,3,45,3,45,4,88,3,31,5,9,0,38,3,15,0,26,22,1,0,0,0,0,16,21,0,0,1,4,2,13,0,0,0,6,7,1,0,3,0,14,0,1,1,30,52,16,4,14,5,11,0,15,6,9,74,4,15,40,33,93,6,8,9,1,0,6,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
암베사,222,3545,77,71,116,256,111,152,158,1770,14,177,80,430,2179,346,2157,196,11,803,171,115,489,18,113,7,697,108,14,50,397,111,227,134,199,114,237,49,181,131,52,2655,166,37,13,3,94,19,157,0,8,223,7,9,103,7,16,5,9,24,46,5,2,140,5,5,5,4,10,3,4,2,79,2,5,5,2,23,39,6,10,20,34,0,63,10,1,9,220,10,80,5,140,3,1774,40,128,4,122,15,117,8,8,6,37,14,7,16,15,21,2,2,8,49,9,54,0,8,2,0,6,76,70,0,0,0,2,0,0,4,5,11,213,6,34,7,45,123,872,0,195,1,28,23,0,89,24,172,33,764,33,115,39,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,24
자이라,10,5,2,7,10,3,9,16,107,86,21,3,6,73,4,131,34,30,15,12,1,455,23,6,225,6,36,341,92,3,96,159,230,39,12,0,16,473,138,8,47,2,7,33,19,0,0,4,1,14,15,19,0,0,0,0,2,0,0,0,5,0,1,0,0,5,0,2,0,2,0,1,3,3,0,12,9,0,0,1,1,0,5,21,3,0,6,5,3,0,3,0,1,0,12,0,102,0,185,0,215,1,1,17,6,7,35,2,95,2,2,0,0,0,6,0,0,0,0,1,0,0,0,0,2,0,0,0,0,0,42,14,72,3,0,1,2,10,0,7,6,0,1,6,2,148,10,22,0,0,28,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4
갱플랭크,1504,388,56,384,767,869,96,62,218,655,20,94,4002,705,115,4398,421,137,16,4164,51,44,3047,37,43,37,194,284,389,543,830,50,2168,1647,208,171,297,929,212,85,509,306,99,55,15,0,11,156,48,19,71,88,0,26,3,0,29,1,0,31,2,1,1,2,58,0,15,0,4,0,11,34,8,3,2,7,6,3,2,2,1,69,24,86,8,1,9,79,181,8,65,0,83,3,305,3,141,1,113,0,112,3,17,17,33,33,22,27,22,6,3,27,25,3,0,3,0,23,0,5,5,7,4,0,6,0,5,0,4,16,20,27,44,8,243,66,63,25,116,409,7,0,156,27,47,842,18,0,0,20,26,30,15,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,17
레오나,9,105,563,58,19,19,655,16,8,393,16,319,127,24,30,71,26,15,0,10,833,16,12,45,24,0,17,29,12,56,38,24,24,9,954,792,39,0,18,850,24,79,837,3,4,46,6,0,0,0,0,49,1,0,0,13,0,4,7,0,0,3,0,0,0,0,0,0,0,0,18,0,3,9,0,0,0,31,0,0,16,2,32,3,9,8,0,0,443,7,392,3,621,8,78,0,18,0,232,3,17,0,35,12,0,0,3,4,0,3,6,0,0,4,2,0,1,0,5,0,1,1,1,0,0,0,49,3,19,3,4,5,53,0,12,13,17,88,11,0,21,0,1,9,20,41,105,2,6,6,0,0,3,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0
코그모,19,14,1,2,5,11,1,6,79,38,0,2,5,150,10,1905,19,462,0,49,0,96,51,0,542,0,52,26,22,1,91,33,134,72,2,0,25,354,543,29,17,3,25,24,2,1,0,4,5,6,0,1,11,0,0,1,0,0,0,0,0,0,0,0,11,2,0,0,0,0,0,0,2,0,0,3,10,0,0,1,4,0,3,30,1,0,0,24,0,1,0,0,1,0,5,0,207,0,26,0,166,2,0,3,6,248,18,3,37,0,0,3,2,0,0,1,0,8,35,3,0,0,0,4,94,111,0,0,0,0,36,12,1,69,6,2,40,0,0,3,0,0,9,5,109,0,4,5,0,0,0,1,75,36,0,0,0,0,1,0,0,1,0,0,64,0,0,0,0,0,0,0,0,0,0,0,2,1,0,0,0,0,0,0
트위스티드 페이트,9,13,4,0,14,2,8,30,208,123,3,3,2,396,12,1259,88,136,1,70,1,1754,88,0,2428,1,87,1883,161,0,802,643,1317,84,8,4,24,3262,848,2,92,11,11,21,16,0,0,22,12,63,56,4,4,6,6,0,7,0,0,0,2,0,50,0,28,4,0,15,2,14,0,12,8,0,0,88,12,0,0,45,0,0,0,37,0,0,41,25,1,0,6,0,10,0,19,0,219,0,199,3,1016,6,0,3,3,51,45,4,63,0,0,17,8,1,16,4,0,11,0,22,0,0,0,8,29,46,0,17,0,0,27,8,0,0,0,3,1,36,0,27,52,9,33,1,0,0,15,19,1,6,40,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,7
럭스,6,10,1,4,7,2,0,4,66,21,4,3,4,26,4,61,6,27,17,9,2,83,16,0,101,0,5,13,51,0,23,47,18,31,2,0,6,129,171,2,23,5,3,27,9,0,0,0,0,0,0,27,1,0,2,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,6,0,0,2,0,4,13,0,0,8,0,0,8,26,0,0,3,0,1,0,0,0,3,0,1,0,15,1,28,5,78,1,0,0,10,8,11,3,29,0,1,0,0,0,0,0,0,0,0,7,0,0,0,0,0,0,0,0,0,0,32,3,58,3,1,5,0,28,0,4,0,0,0,0,5,7,4,4,0,0,3,142,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
모데카이저,7,846,11,11,20,7,20,36,120,287,0,70,26,170,960,305,762,115,0,28,191,1017,17,0,60,0,2222,49,23,22,160,216,103,12,28,16,22,2,24,18,29,351,43,0,0,6,20,0,38,1,0,2,95,1,8,10,1,2,0,3,16,8,6,22,1,1,4,3,56,1,3,0,24,1,0,1,0,9,9,1,0,1,0,0,27,0,2,164,26,7,403,3,61,1,30,7,35,0,112,0,1624,21,0,2,3,3,0,0,0,1,0,2,28,0,2,59,0,168,2,2,0,4,2,0,57,11,0,51,0,0,2,0,107,55,61,1,1,3,42,0,37,3,17,24,72,2,7,76,18,173,39,0,3,0,0,0,2,0,0,0,0,5,0,0,0,0,1,1,0,0,0,0,0,1,3,0,0,0,0,0,0,0,0,16
모르가나,36,16,18,3,48,15,18,40,123,382,11,15,31,502,24,96,45,862,68,58,8,1278,46,0,494,0,79,659,117,2,385,284,1152,99,28,11,30,989,728,21,98,24,16,33,28,0,0,4,2,55,13,26,5,0,0,0,1,0,1,0,0,0,27,3,2,6,0,10,0,3,0,10,0,0,0,19,13,0,0,5,0,0,1,55,0,4,14,46,17,0,27,2,21,0,13,0,1626,29,225,3,646,7,0,1,25,8,21,10,79,0,0,4,0,0,0,0,0,2,0,6,0,0,0,92,3,26,2,13,0,0,75,9,0,15,5,7,2,14,0,17,18,12,1,0,7,1,0,0,2,43,10,97,0,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,1,2,0,0,0,17
트리스타나,102,17,10,22,53,346,7,28,223,96,20,3,25,489,26,4205,290,1013,40,3473,6,23,719,1,1,5,121,28,31,17,373,8,214,87,1,14,273,263,150,6,31,16,14,84,35,0,0,617,30,10,9,89,3,17,1,0,20,0,0,28,2,0,0,3,74,4,31,2,6,0,6,2,0,0,9,13,54,4,0,0,3,111,22,81,0,0,2,52,4,0,0,0,6,3,21,0,72,4,11,5,27,0,3,8,8,21,28,0,57,2,9,3,127,0,0,3,0,13,0,13,0,0,0,0,3,1,0,0,0,5,72,24,109,7,671,19,7,17,8,29,4,14,3,5,25,0,23,90,19,147,9,3,5,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8
스웨인,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
우르곳,48,3300,17,22,25,29,31,6,37,185,8,26,28,46,76,79,405,24,0,119,12,20,65,2,17,10,276,25,12,23,37,6,65,70,41,32,37,20,9,35,17,2816,43,53,14,16,167,5,39,0,3,125,4,0,76,0,0,2,1,0,24,0,0,16,0,0,1,0,3,0,2,0,4,0,0,2,0,2,70,0,7,2,11,3,22,0,0,0,45,0,11,0,38,0,5878,266,14,2,23,2,11,0,2,24,25,3,0,4,4,10,3,10,0,0,0,43,0,0,143,0,42,48,4,0,0,0,1,0,0,3,25,6,5,12,0,20,7,25,23,19,10,23,4,66,13,0,9,0,24,6,31,52,6,12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4
조이,10,4,4,0,40,11,4,22,277,142,0,1,0,801,22,2851,110,400,7,27,3,5179,11,0,1221,0,75,395,70,2,1794,784,1158,54,12,1,25,5111,902,9,61,8,3,4,0,0,0,20,7,108,19,0,50,19,0,0,5,0,0,0,1,0,57,0,53,11,1,11,0,4,0,20,4,0,0,187,34,3,0,37,0,0,0,3,0,2,51,49,0,0,14,0,7,0,8,0,158,0,510,5,2593,17,0,0,2,51,1,0,3,0,0,1,8,0,0,1,0,0,0,30,0,0,0,20,36,43,0,14,0,0,6,2,91,1,2,4,7,0,1,26,3,10,41,2,19,0,13,0,1,0,0,7,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,15
빅토르,90,46,26,18,73,180,38,110,68,477,1,25,25,214,111,99,164,106,11,143,13,342,127,0,237,2,85,597,125,10,180,220,678,165,8,16,74,66,171,6,62,42,36,14,17,0,0,2,3,1,23,7,3,1,2,0,3,0,0,0,7,0,13,0,6,1,1,9,4,0,1,8,7,0,0,0,3,0,2,4,0,4,1,26,0,11,10,22,17,0,35,0,29,0,39,0,48,0,116,2,61,0,0,0,7,5,17,0,39,1,0,4,6,0,28,0,0,1,0,0,30,0,0,0,0,2,0,0,0,2,22,5,41,9,49,10,29,72,101,45,17,9,72,12,22,44,43,24,34,168,43,71,10,3,0,0,0,0,0,2,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1
멜,14,42,1,6,24,9,7,90,84,255,2,18,4,283,68,365,153,430,4,31,15,573,37,0,646,0,74,410,60,6,264,285,531,52,11,4,45,906,306,3,65,46,15,8,3,0,0,3,16,31,4,9,21,2,0,0,0,2,0,0,2,0,7,1,0,1,0,1,1,8,0,5,11,0,0,10,14,0,0,18,0,0,0,7,0,7,15,34,11,0,33,3,14,0,16,0,865,3,401,8,335,1,0,0,4,20,0,0,11,0,0,1,2,1,0,2,0,2,0,2,0,0,0,21,12,8,0,1,0,0,3,3,29,12,60,37,47,105,96,33,140,13,104,4,87,21,332,16,34,269,35,29,21,23,0,0,0,0,5,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,3,0,1,1,0,0,0,0,0,1
워윅,58,1491,140,66,42,149,173,210,65,785,0,138,45,213,832,563,847,124,3,277,74,42,180,4,46,1,275,69,10,46,171,39,123,46,199,140,187,12,57,118,37,1028,321,7,1,3,29,7,51,0,3,6,8,9,24,1,3,0,0,0,7,2,0,15,4,2,2,2,0,1,1,0,22,1,0,3,3,2,12,0,0,2,4,6,31,18,0,9,130,2,72,4,108,0,1018,13,43,0,107,2,64,1,1,1,7,1,4,18,1,5,0,0,1,10,1,24,0,13,0,0,5,11,18,0,8,0,0,3,2,0,1,2,16,42,0,49,154,116,256,71,62,39,148,138,147,145,58,125,156,61,47,143,69,25,1,0,4,0,0,0,0,3,0,1,0,1,4,1,0,0,0,0,0,0,0,2,1,1,1,0,0,0,0,13
